Avg_value,TP9,AF7,AF8,TP10
-104.17562741381585,-75.27689494081115,-197.33747128215472,-69.74152729280041,-74.34661613949712
-122.95711916433721,-45.778506691686424,-375.48298075664314,-19.437503535261893,-51.1294856737574
-82.10793219657309,-37.035625614822784,-235.00703099036218,-23.940964596930694,-32.448107584176675
-71.71574653941917,-36.85633711356645,-208.36374078934975,-3.706222460826257,-37.93668579393424
-86.9237515059707,-30.719002320516054,-261.86202508406467,-25.602757731349346,-29.511220887952714
-97.35626705240654,-38.639554648259036,-272.9286456957725,-40.817138980996724,-37.039728884597885
-82.9133721557288,34.60212464050212,-258.8497358125038,-144.0976593750583,36.69178192414476
-51.5684033790457,14.548658484421754,-135.5265502167518,-101.36404430080385,16.06832251695109
-128.26676758151777,-9.398346336922934,-339.1991843438313,-159.11668956610595,-5.352850079210911
-102.02790623481175,-15.642576022785116,-248.2029137706879,-132.10630289696988,-12.159832248804129
-117.47762859214052,4.568456736335857,-380.9816574837377,-99.39058963019764,5.893276009037412
-86.17915344675187,-21.39001197406724,-235.49639394761667,-70.70482977748199,-17.125378087841604
-72.14633279515292,-4.566496059629956,-242.6042865979024,-35.52724546248012,-5.887303060599214
-82.81861399614498,-12.554667430618018,-237.55007811104426,-67.66111997862555,-13.508590464292045
-78.79071291069053,-20.607394773373823,-221.8901111499331,-54.85846963399237,-17.8068760854628
-70.81781760456201,-17.909332588636037,-188.6752195400302,-60.827870212657864,-15.858848076923923
-77.63827301512173,-25.39274429420953,-213.06581277444408,-48.60959013119161,-23.484944860641686
-73.31135841153566,-15.937488702898829,-208.96751244843472,-55.111005556786466,-13.22942693802262
-68.55369411693802,-17.38841059672809,-191.53477957476719,-53.06395147910619,-12.22763481715058
-76.54699918521142,-19.515681223102057,-207.5624940685496,-65.40106348645193,-13.708757962742068
-79.61537347187546,-26.49075954295914,-214.49613915610172,-56.61130123421135,-20.863293954229608
-88.83967616892883,-25.050254935627457,-236.68653271611217,-74.15228892197918,-19.469628101996513
-80.09620860064824,-18.02832896830744,-221.28421332361734,-66.2501099357067,-14.822182174961496
-101.03114379231,-29.843512252572737,-277.6079971956899,-71.46231718490318,-25.210748536074185
-75.85020511887693,-21.427108822960697,-203.05789637384402,-58.72821520259937,-20.187600076103656
-80.99791839352453,-18.05389797171906,-220.00610707333578,-69.64526631739724,-16.286402211646042
-76.45947664510638,-24.04092359331464,-193.12682086783389,-67.249229302752,-21.42093281652503
-51.99958425426496,-27.089072094453325,-126.08379817362267,-32.502304820447804,-22.323161928536024
-77.80154586952382,-13.049689530873763,-215.32365849997169,-70.08128150491729,-12.751553942332555
-74.6994959595795,-24.429648147045082,-195.2692101202276,-59.91497579975314,-19.184149771292198
-73.92407854094813,-28.89917084680376,-185.48832472958608,-58.71980919520754,-22.58900939219515
