Avg_value,TP9,AF7,AF8,TP10
-329.5231535737287,-374.7408531696568,-298.41142955759494,-264.6003554688556,-380.3399760988074
-216.3904419378924,-223.59085044726316,-232.2016067798366,-183.57860123171358,-226.19070929275628
-194.41959910003698,-193.70150400700143,-227.34567899158708,-163.33376431431856,-193.2974490872409
-165.0600320149462,-159.64954359674678,-187.3812820040556,-152.3963091254831,-160.81299333349935
213.55777363919725,353.6518642245758,-27.891830649094857,175.74009736458285,352.7309636167252
-492.81544714200186,-710.3757878971078,-143.9621649555094,-412.74942991500234,-704.1744058003878
-479.8450926204995,-622.5253847466998,-402.0029137324877,-261.6647675472336,-633.187304455577
-360.45235765992925,-271.65789028535244,-471.8435351277609,-417.88947635960716,-280.4185288669963
-158.5486099606921,-195.23203857213792,-118.54023765892083,-123.75588133111336,-196.6662822805962
-192.34326345811118,-183.78088373663326,-243.87590164325545,-159.4626021330954,-182.25366631946065
-174.33988684401962,-151.54855412030753,-208.58134130210132,-182.74914325968015,-154.48050869398944
-80.05676947490484,-11.393279399862347,-306.849137298251,13.801457447331165,-15.786118648837203
318.4414427251888,324.91406856225,473.7225084786443,143.3161041871601,331.8130896727007
-707.7905632683572,-862.1048702088689,-639.3999523735405,-458.8864521223192,-870.7709783687004
-313.9739054165884,-370.91522559506046,-294.3355890555746,-210.30515083325042,-380.3396561824682
-247.7667600449555,-237.3690757125691,-259.86657158193094,-252.0111707691441,-241.82022211617794
-213.7023961138093,-167.89781940644468,-275.2632778503531,-244.37307604138763,-167.27541115705174
-169.90170269122703,-152.33440043119091,-206.3338983738554,-168.43223505760596,-152.5062769022558
-157.07764929754578,-129.45341435154336,-200.5921602707174,-171.7244034376755,-126.5406191302469
-144.08745840854664,-190.25651009214678,-167.43926218190384,-29.556153576913626,-189.09790778322224
411.8982626004447,581.0672453197767,262.9404574729646,219.55034611924845,584.0350014897891
-831.60093906134,-994.5098275398591,-711.6626921885248,-625.5387449653867,-994.6924915515891
-447.14087907893054,-511.99750817391026,-439.49543644619575,-309.072704074678,-527.9978676209379
-251.4651788164142,-253.70842594503236,-280.29439409569244,-215.40459540936618,-256.4532998155659
-202.45792518491433,-181.1935148049341,-252.50209024534294,-192.33789022983225,-183.7982054595481
-171.88082367583732,-148.1869062446721,-221.76982922824067,-169.2498654372827,-148.31669379315383
-148.76551915730747,-122.99386839841398,-191.2653746124434,-159.43154739181963,-121.37128622655277
-143.15525955722288,-115.80335429938435,-182.12505238036874,-163.5610573508174,-111.13157419832098
-193.8208474740825,-122.71540908480421,-192.87332363812266,-335.9046137550982,-123.790043418305
-140.89534947697882,-43.606297667509345,-237.9712388396949,-232.61808590969335,-49.3857754910177
-129.907656173845,-76.49572818058479,-219.81806506157864,-146.55571929095697,-76.76111216225952
-123.31914987183113,-70.59163041261583,-222.9986869580552,-131.00958801801647,-68.67669409863701
265.38142946219966,426.495994969347,-69.1340764959392,278.9329325277788,425.2308668476121
-511.6164695615943,-618.4684281675707,-378.1679277759355,-439.0653739346791,-610.764148368192
-238.44655830554856,-184.87528588213192,-325.0368204603373,-255.9470647949949,-187.9270620847302
-153.84784544680488,-95.94449679125306,-230.3729059345644,-191.9330902350356,-97.14088882636646
-133.44672938763742,-68.3847514283512,-222.5401297547489,-178.0356492104189,-64.82638715703074
-135.26435009940081,-62.07994785550576,-243.53095492669934,-176.78015263698157,-58.666344978416696
-121.50791207561808,-57.90284004386538,-205.4481064642989,-163.65894297314742,-59.021758821160645
-117.36865975244115,-53.80661055771762,-208.78890023536093,-160.38936515627452,-46.48976306041154
-104.97771140845043,-48.191297153924644,-173.59923811878323,-152.98718191375804,-45.13312844733582
-110.82686770850782,-83.10675920774199,-136.96366055422646,-143.63504103155157,-79.60201004051123
-117.44028335245882,-48.30749795644828,-211.72414924285852,-165.71853603311885,-44.01095017740959
-131.83492219036123,-73.68904754626286,-197.21898993721527,-184.52018500698458,-71.9114662709822
-120.13912651009544,-15.599050658266853,-219.35976732727033,-232.14832445969506,-13.449363595149443
-78.62848479082211,-73.47771859034209,-159.92673795744588,-9.92995324612665,-71.17952936937385
311.08496741965297,520.8494935628337,43.30547591593379,154.20178570064743,525.983114499197
-549.6109878168758,-655.2691487648934,-430.04167985817776,-444.7136490409822,-668.4194736034495
-198.1182002105151,-150.40939264259484,-268.40609207466656,-218.5194994073798,-155.1378167174192
-142.65386536536246,-85.14093616449243,-226.29358189858402,-173.9673648862135,-85.21357851215991
-123.96817581420837,-64.96580380928211,-208.63349338865115,-158.52293298741176,-63.75047307148843
-125.49280170707115,-63.938586146237476,-216.9311677770063,-158.98715589709138,-62.11429700794944
-142.44061275753486,-107.2541547031088,-204.8481085301494,-148.33486511732463,-109.32532267955658
-91.87553724570347,-6.695211215706924,-194.27899836815342,-162.3875291730289,-4.140410225924612
-65.29146995833699,-71.81310798921756,-96.63902120741129,-19.08350507337718,-73.63024556334196
87.28742880614297,180.86019264818572,16.3484459163282,-45.190410147779566,197.13148680783758
-393.8766019835757,-360.3925649871441,-485.73667906209045,-364.09435678215505,-365.28280710291335
-155.8614934005156,-106.29537484484977,-238.10549567071865,-173.50892664571452,-105.53617644077936
-158.004522739994,-76.8221778200115,-215.50747128977855,-263.3703893330415,-76.31805251714451
-116.5074845866204,-33.773745146533706,-228.33126972126004,-173.12300118720057,-30.80192229148723
-97.99532906767496,-43.19689202610858,-166.45160361172475,-142.97124674824065,-39.36157388462582
-95.35270757998299,-94.66907257032453,-149.6670616199228,-46.19546766890788,-90.87922846077677
531.1203098274747,711.1631407820827,304.76200744207125,390.8188011988596,717.7372898868852
-859.4045787376897,-993.4503042101145,-797.4109065627858,-651.107899150309,-995.6492050275491
-463.2768997945068,-610.39783985695,-365.71866984992994,-246.56861796449553,-630.4224715066515
-278.2297393385483,-295.0287585963595,-299.50067220595554,-218.3993058838063,-299.9902206680718
-197.41369473726292,-208.88990421376445,-201.92676761253867,-169.60121210012878,-209.2368950226197
-178.7005989831682,-151.94402792076167,-235.11513218551875,-177.81884924414427,-149.92438658224805
120.55419142817857,93.85553481718368,65.56029021857725,234.51086810138392,88.29007257556938
-277.6752544497074,-67.22907302069785,-456.38358573367015,-524.6950184583043,-62.39334058615705
-800.9717701356043,-999.4525966283799,-720.1437566431291,-484.83813064252814,-999.4525966283799
-491.75077672054545,-668.6106244314343,-370.2376178793648,-242.92749583426263,-685.2273687371201
-338.0392068487073,-398.71204058410274,-270.47974171631887,-282.61087188879475,-400.35417320561294
-227.44389233180567,-224.22807883916246,-260.89550237850756,-198.57058759331187,-226.08140051624076
-168.66765114129888,-157.55475698729776,-205.87676517011064,-155.08768025367195,-156.15140215411517
