Avg_value,TP9,AF7,AF8,TP10
-91.49204402066027,-30.768560705030104,-199.20865927795523,-106.7537407729869,-29.237215326668895
-90.13436900425083,-31.765575275856047,-174.91913061611334,-125.7474194298359,-28.105350695197988
-73.03825298090025,-29.625634462235475,-134.2700662951191,-101.46344859071503,-26.793862575531413
-93.11834920678906,-27.372293471645243,-189.78565102170674,-128.83957731920043,-26.47587501460383
-115.59016728729826,-37.18550011670471,-245.84352565509047,-144.06934320134144,-35.2623001760564
-68.33701198413863,-23.45815907437883,-139.84205306513545,-92.59058267110626,-17.457253125933953
-84.57344782419055,-27.153244209781818,-174.39405831883934,-112.65744769303186,-24.089041075109165
-86.49001337502948,-28.36838561479249,-174.1715093977822,-115.21335905279378,-28.20679943474948
-87.1362459957932,-18.97328512173378,-187.84371849634954,-122.23542336165063,-19.49255700343881
-93.43738149188987,-33.34382060479091,-190.2108641440306,-117.44803339638793,-32.74680782235004
-90.01395482844389,-30.0606017015847,-182.28665040800948,-118.44109062366962,-29.267476580511776
-148.34219636056744,-7.667549647375959,-336.4306070175526,-244.8693811471115,-4.401247630229668
-147.93425799755042,78.47925748875839,-787.7601053303596,91.78781441939923,25.75600143200028
-470.3708788036442,-98.66478693567599,-764.7429476753146,-940.908695376215,-77.16708522737122
-15.39485114203017,-45.40596431279614,348.90645572588875,-330.96398559525886,-34.115910385954436
-8.49298194466061,-43.30317533065349,18.125290073456128,27.879587521743513,-36.673630043188595
-4.162678447113838,-35.2960053206539,13.45941561229903,36.96678821368325,-31.780912293783736
-28.545339266563268,-36.739298905767214,-46.69757936642212,5.458300597348089,-36.20277939141183
8.35095644328295,-18.92024889574875,-51.62599071693845,118.70344664967817,-14.75338126385917
53.228105520409315,-19.511685318621844,-86.96688848001953,386.83713653630645,-67.44614065602782
-519.2356724801679,-49.191537524776706,-999.0497456423969,-999.4525966283799,-29.24881012511787
-73.27351673461557,-12.95988571505613,-6.871262405869099,-258.7670966224466,-14.495822195090476
-17.35718813284963,-35.81956249829867,-2.044650176540551,-0.8332989534185486,-30.73124090314074
-41.25090245976995,-38.39452486226735,-39.36999184521705,-52.645984346593316,-34.59310878500206
