timestamps,TP9,AF7,AF8,TP10,Right AUX
1678793440.066,19.043,53.711,37.598,148.438,53.711
1678793440.070,68.359,60.059,57.129,138.184,78.613
1678793440.074,39.062,60.059,53.223,-18.066,20.996
1678793440.078,-0.977,62.500,44.434,-94.727,28.809
1678793440.082,-0.488,55.176,46.387,-1.953,55.664
1678793440.086,19.043,31.738,39.062,115.234,23.926
1678793440.090,37.109,25.879,37.598,102.051,-20.508
1678793440.094,39.062,36.133,47.852,-23.438,-22.949
1678793440.098,21.973,39.551,57.617,-97.168,23.926
1678793440.101,5.371,31.250,55.664,-11.230,66.895
1678793440.105,4.883,17.090,38.086,104.492,70.312
1678793440.109,34.180,9.766,36.133,113.281,73.730
1678793440.113,52.734,18.555,51.758,6.836,37.109
1678793440.117,33.691,35.156,64.941,-89.844,44.922
1678793440.121,14.160,36.133,60.547,-38.574,67.871
1678793440.125,6.348,16.602,39.551,78.125,7.812
1678793440.129,28.809,1.953,36.133,102.539,-11.719
1678793440.133,37.109,4.883,47.363,0.000,40.527
1678793440.137,17.090,19.531,61.523,-92.773,79.102
1678793440.141,-5.859,25.391,62.988,-57.617,19.043
1678793440.145,-10.742,16.113,41.992,66.406,7.324
1678793440.149,9.277,12.207,34.180,111.328,10.742
1678793440.152,18.555,19.531,37.109,10.742,25.391
1678793440.156,32.715,34.180,61.035,-86.426,30.762
1678793440.160,22.949,33.691,70.801,-64.941,-27.344
1678793440.164,-6.348,10.254,42.969,43.457,11.719
1678793440.168,19.531,-7.324,32.227,108.398,45.898
1678793440.172,40.527,-8.301,31.738,20.508,21.484
1678793440.176,10.742,3.906,41.016,-103.027,61.035
1678793440.180,-14.648,19.043,53.711,-98.145,14.160
1678793440.184,-6.348,16.113,46.875,29.297,-35.645
1678793440.188,16.113,8.301,42.480,120.605,-41.504
1678793440.192,38.574,16.113,50.293,53.223,-21.484
1678793440.195,39.062,37.598,60.547,-77.148,33.203
1678793440.199,11.719,44.434,63.965,-98.633,57.129
1678793440.203,2.441,39.551,62.500,23.438,47.852
1678793440.207,-13.184,36.133,43.457,110.840,40.527
1678793440.211,1.953,44.922,40.039,64.453,-11.230
1678793440.215,20.996,65.430,56.152,-62.988,-2.441
1678793440.219,4.395,70.801,62.500,-103.027,39.551
1678793440.223,-19.043,58.594,49.805,-7.812,26.855
1678793440.227,-10.742,50.781,37.598,93.262,54.688
1678793440.231,13.184,47.363,35.645,79.102,31.250
1678793440.234,20.020,58.594,52.734,-42.969,-9.277
1678793440.238,-6.836,68.848,70.312,-98.145,32.227
1678793440.242,-20.020,57.129,65.430,-8.301,3.418
1678793440.246,15.137,50.781,59.570,115.234,-21.973
1678793440.250,37.109,60.059,50.293,92.285,17.578
1678793440.254,25.391,66.895,52.734,-41.504,32.227
1678793440.258,3.906,74.707,71.777,-94.238,8.301
1678793440.262,-23.438,76.660,63.477,-24.902,22.461
1678793440.266,-10.254,73.242,44.434,81.543,11.719
1678793440.270,18.066,72.754,37.109,91.797,-38.086
1678793440.274,17.090,76.172,46.875,-29.785,21.484
1678793440.277,-5.371,83.008,60.547,-109.375,5.859
1678793440.281,-39.551,86.914,52.734,-51.758,-35.645
1678793440.285,-28.320,76.660,36.133,40.527,36.621
1678793440.289,0.000,71.777,31.250,74.707,49.316
1678793440.293,23.438,87.402,55.176,-5.371,32.227
