Avg_value,TP9,AF7,AF8,TP10
27.637419365395314,-2.4855845457111765,-32.16770141212093,167.96937417645177,-22.766410757038404
-57.13218556278581,-31.536314749552915,-81.23667974575152,-67.32310833239787,-48.43263942344096
-82.75872198508745,-36.05833886729473,-120.04131185725275,-125.01473978778316,-49.92049742801916
-71.4556173475522,-25.74503741048614,-135.59282085951017,-83.5251858882028,-40.959425232009714
-83.18554781814268,-26.59645395018658,-177.0327418918973,-87.29892579748781,-41.814069632999036
-88.85284256684454,-41.860009723585534,-189.8107739855118,-84.97406851685652,-38.76651804142434
-73.40210384806362,-49.71565114073364,-161.48503621826808,-10.918342948893228,-71.48938508435951
-58.8210156986973,-3.69504699598419,-154.08398938754823,-74.46539466376609,-3.0396317474906795
-53.38180489708785,-23.736324427243307,-105.61800979845336,-57.878393288212955,-26.29449207444176
-78.3060518671197,-31.2386519075737,-145.84963234012287,-87.28636371776025,-48.84955950302204
-23.29720656739207,-19.113991022286186,-113.21698680204051,59.74258898885129,-20.600437434092886
-45.17573097455601,-23.346823410088714,-134.35513355331398,5.361396945201846,-28.3623638800232
-157.31829974294953,-91.81710250618353,-267.0438797453426,-170.44042565887878,-99.97179106139319
-139.6631012150276,-30.13297997403926,-238.55410123420637,-226.23240736939928,-63.73291628246555
-123.22019283223698,-26.756783145028976,-239.9635060097142,-197.90537289147056,-28.255109282734164
-68.1648978666584,-18.160730809682708,-113.85827222603335,-113.36962000323166,-27.27096842768584
-79.55259927153745,-24.403814756500687,-183.46433605404084,-65.93836711994543,-44.40387915566279
-110.31180429269585,-60.7254079967462,-246.21369760778921,-62.62459228122417,-71.6835192850238
-79.9007082099995,-31.305578193568234,-270.5832037928928,26.21806954943279,-43.93212040296976
-103.58092525585667,-58.20722639372279,-236.39575441245975,-58.27555326462618,-61.445166952617974
-39.617183170120605,0.4708676793766697,-95.86524830137596,-50.35199491439896,-12.72235714408417
-43.09062220351849,-6.393734589299125,-77.40221308823283,-67.26251397541279,-21.30402716112923
-103.49222840597231,-88.06885435648441,-93.28231815517671,-138.72405235342453,-93.89368875880363
-0.294739346993663,39.529989158743106,-67.13846345666863,1.5517592169754502,24.877757692975422
-45.676064872929686,-20.026376928540046,-91.14946077043108,-31.17644434181727,-40.35197745093034
-63.052781036674595,-35.4489358237118,-128.6613281950002,-47.509250231728494,-40.59160989625789
-69.02843001331256,-28.335695918532245,-141.40420746534105,-70.21433625736684,-36.15948041201013
-51.28420702273113,-25.11270421362419,-86.94301319801622,-60.7946844636497,-32.286426215634414
-53.84213404793148,-28.86768529310545,-82.6505541471429,-63.690448074377144,-40.15984867710043
-70.51909237933904,-54.34644409939881,-120.95969318704456,-35.738996404958066,-71.03123582595474
-48.84696197509317,-28.465619492244336,-106.4718778122936,-26.964166020966257,-33.4861845748685
-53.07977424240218,-36.14154446406459,-99.95287008772571,-29.578009034451235,-46.6466733833672
-80.91996805659355,-23.652786282005927,-239.95177186884413,-30.92023315503304,-29.15508092049109
-56.43516136679274,-1.1820415889804783,-99.03538937588586,-116.9120721714387,-8.611142330865937
-44.38863021559598,-17.118042451988277,-83.9656539686274,-53.28815766108513,-23.18266678068311
-72.39963436243686,-12.891399435160455,-207.20063257175065,-57.49890110137315,-12.00760434146313
-60.82959982384367,-32.70158988721071,-110.57980734352086,-63.73373107432511,-36.30327099031803
-66.29602701114749,-16.719851430283235,-123.88328956541798,-76.77381856983351,-47.807148479055236
-78.64958748127907,-23.86618434244913,-172.54116842228797,-75.83702752514931,-42.35396963522988
-71.40966665530166,-29.352835516653833,-185.52381182298024,-26.277489703273616,-44.48452957829896
-70.28081835369072,-22.168557349066987,-204.07973968983734,-21.00748851653113,-33.86748785932742
-91.36760140414248,-43.6625096398273,-241.91330094671463,-22.32243661787445,-57.5721584121535
-109.1856339022991,-52.57907556869251,-236.07524517186351,-92.9191387722225,-55.1690760964179
28.772650776687257,10.763882745420858,40.47852781079453,51.896003609465545,11.952188941068096
-99.75579363473071,-55.10374322748018,-191.26288035977,-97.77386400514143,-54.88268694653121
-100.00695590233661,-38.137038308328556,-161.35860935030217,-164.75204734654488,-35.78012860417084
-33.084833788043305,-25.858594805719882,-46.99129366180128,-22.88681434461674,-36.60263234003532
-72.22527734258578,-27.69497281921145,-152.03639338920195,-75.13961042930141,-34.03013273262833
-62.968089892320954,-14.866971049062208,-160.63702406721237,-66.8926677712492,-9.475696681760045
-105.66389453029609,-42.503789528665884,-184.38992432538538,-144.33811341652526,-51.423750850607775
-134.60810502846854,-28.930693815063815,-302.5926229141416,-163.88909507709394,-43.020008307574805
-39.6184057742727,-16.82233855807592,-106.86173680222747,-6.418391196362588,-28.371156540424835
-28.19885822422702,-19.70276944140461,-64.97750231260387,-4.010378004678748,-24.104783138220853
-34.12597648943127,-60.508123905020405,24.712055562882536,-47.08562626748364,-53.62221134810356
-71.68462984529742,7.746589805906556,-109.31534983901416,-180.85475823482793,-4.315001113254116
-54.73185437372919,-18.220417042004645,-96.40901421350567,-65.5758293659293,-38.72215687347715
-66.38437157044902,-17.931560246747445,-148.21063882135275,-65.6574727364491,-33.737814477246786
-133.47109255371208,-51.97807596425415,-316.37339158268884,-95.61399035177533,-69.91891231612996
-186.2969141421002,-25.107200976502938,-368.4734009732167,-309.7864944303703,-41.82056018831089
-120.79491368204378,-32.40741856322352,-195.71974248568748,-217.10550310859293,-37.94699057067123
-64.93579602122946,-30.963750124422532,-125.00757883791977,-71.4130737071785,-32.35878141539703
-150.4232474797507,-36.99248615149621,-319.5285298030305,-200.28866428383247,-44.88330968064365
-59.528458195050234,-28.78161570694349,-156.73389384626984,-17.335840310827614,-35.26248291615998
-23.923982111918612,-10.936500185243542,-126.67826184875292,69.56820354685675,-27.64936996053472
-131.89911466884212,-43.73568778619024,-265.57494776508605,-175.86767575639217,-42.41814736770009
-38.35916826563461,-29.372182949516507,-107.09626527718122,24.54302322243496,-41.511248058275676
-18.91705883850628,-24.884293474395044,-20.90512044527488,7.113197082535518,-36.99201851689072
-104.00513477698303,-64.36242055148539,-201.17274841691432,-78.50040514587202,-71.98496499366034
-12.595215224694261,5.4780900738505744,-50.02290389816116,-11.179095081207798,5.343048006741338
-47.478755416894266,-25.165276363567347,-98.27140753987952,-34.37430156784991,-32.10403619628031
-60.43532010116685,-26.12172000827121,-137.60555744619302,-50.2428644627237,-27.77113848747948
-75.20166382827807,-28.365873648120555,-174.76243516549397,-67.1257610250705,-30.552585474427268
-63.97374952077923,-31.97017259766964,-157.68867250780517,-28.795246576290328,-37.440906401351775
-59.399816543983505,-25.42173367995149,-135.25215967264393,-41.18950206048662,-35.73587076285196
-49.203903838398276,-26.277225576316066,-104.4167106026168,-30.259695775354835,-35.86198339930543
-115.45022873980662,-70.32378344345086,-237.73612410336176,-76.20990973375235,-77.53109767866152
-71.92340316730417,13.220556209410423,-191.99266837112233,-118.3202261700731,9.398725662568337
-28.754425439651044,-23.363401029337737,-71.09253105718484,7.556465999383984,-28.118235671465577
-58.111625815174854,-33.24674153022711,-137.65248927676512,-29.56212565910456,-31.985146794602606
-45.01017695276573,-29.296530567879984,-111.62386176846753,-5.182357943442175,-33.93795753127325
-56.18422211643606,-21.240137829167484,-123.26761600714846,-53.686526822433166,-26.542607806995132
-30.076879116092208,-28.292732943954395,-62.016053678856096,3.2643221059796907,-33.26305194753804
-55.70637825175303,-33.71917871123933,-113.9967623580307,-31.12153868891181,-43.988033248830284
-159.65546680738728,-97.69413240159835,-270.23361884059943,-158.9816457487581,-111.7124702385933
-11.287199829220258,24.97096347220166,-102.94575569261681,13.993601874791377,18.83239102874274
-29.293181450589387,-35.8596170752012,-54.05482977728821,11.001284049741749,-38.25956299960986
-89.0191080399794,-40.409544928754954,-160.56662764992836,-111.22274220702104,-43.87751737421328
-28.566308945225185,-6.102796403412625,-103.300231440609,-1.0518621929122498,-3.810345743966859
-28.194470092165517,-18.094455074675977,-92.07402156249445,21.368133650401703,-23.97753738189335
-148.09669235479822,-44.81802901812068,-379.8294735516119,-119.03734216923755,-48.701924680222746
-63.48782665112458,-0.7244566300534003,-190.62677349581347,-59.57740667366418,-3.0226698049672875
-33.15068586371421,-25.983031062489477,-84.98249607539839,0.9688965634530133,-22.60611288042199
